avg,long_bar,mean
0.07,62,0.06975544708901524
0.18,415,0.12232558139534883
0.05,490,0.05180783394710412
0.14,56,0.13569275644141954
0.16,49,0.15917219208358446
0.16,71,0.12809123649459786
0.11,76,0.12686500640704218
0.1,53,0.10314276588949217
0.07,70,0.07713617021276596
0.14,67,0.1096969696969697
0.11,65,0.1353927625772286
0.06,83,0.05389780912364946
0.05,75,0.0737307149339518
0.15,57,0.10410760309278351
0.14,59,0.11030378693300041
0.13,58,0.11585365853658536
0.12,62,0.12997764292558286
0.22,45,0.1102741573033708
0.14,66,0.1056701030927835
0.19,65,0.1007706766917293
0.04,107,0.04430064708810353
0.03,66,0.039920619678637734
0.07,64,0.07743152370018042
0.09,79,0.08628826530612245
0.1,49,0.15137391304347825
0.12,46,0.1341991341991342
0.18,44,0.14532861078315623
0.48,325,0.43389830508474575
0.15,59,0.11922077922077923
0.35,327,0.3288288288288288
0.18,47,0.12061403508771928
0.06,74,0.11445613501017904
0.16,67,0.12130281690140847
0.06,73,0.04717908465161212
0.1,53,0.14493116395494368
0.11,56,0.1345657915177878
0.18,50,0.15975274725274724
0.13,47,0.129485903814262
0.18,51,0.15863395863395863
0.14,54,0.12193130630630629
0.11,49,0.11221153846153847
0.09,186,0.09431588756018017
0.07,203,0.06176452875639868
0.06,72,0.06449068173206104
0.07,69,0.0710372542630607
0.1,73,0.08292682926829269
0.11,63,0.09455943228858661
0.17,43,0.091088491898629
0.16,54,0.130253766851705
0.12,43,0.1294606512890095
0.1,46,0.1018169429934136
0.17,61,0.1577319587628866
0.09,83,0.08885114537061231
0.07,115,0.0656142365097589
0.08,66,0.057317958020212494
0.05,76,0.049783152627189325
0.04,71,0.050053371286248
0.06,63,0.059136880818296746
0.13,69,0.0940566037735849
0.15,59,0.11878031878031876
0.14,51,0.09864864864864865
0.17,54,0.15959595959595962
0.15,63,0.15014639859457352
0.1,177,0.0832911884847306
0.08,56,0.13144863266814488
0.04,70,0.06921556704165399
0.15,54,0.12923997363484258
0.05,316,0.04383164005805515
0.08,73,0.0858056994818653
0.12,67,0.08968957871396895
0.07,72,0.07198438616185325
0.15,62,0.14729296768938366
0.17,49,0.12355631789594053
0.06,68,0.06678696839641046
0.07,70,0.06956905640484977
0.13,40,0.13274442144007362
0.12,65,0.11871530531324347
0.17,52,0.15799343647444913
0.11,48,0.11267281105990783
0.12,55,0.09450095827804805
0.18,45,0.15255172413793106
0.17,58,0.13529411764705881
0.13,43,0.1619072708113804
0.16,49,0.11896707943219571
0.17,49,0.15333333333333332
0.14,40,0.13205759757483898
0.18,49,0.1835820895522388
0.18,60,0.15581395348837207
0.1,58,0.10945464510824883
0.1,327,0.10434266946446492
0.18,50,0.09228187919463088
0.11,52,0.15017887403502167
0.17,36,0.13369006849315068
0.15,34,0.1323797930614729
0.1,48,0.16233766233766234
0.17,40,0.1236290322580645
0.2,40,0.17099638771824202
0.18,37,0.15161290322580645
