0.27,0.2,0.31,0.21,,
0.26,0.24,0.3,0.2,,
0.21,0.31,0.21,0.26,,
0.21,0.31,0.3,0.17,,
0.17,0.23,0.28,0.31,,
0.24,0.29,0.22,0.26,,
0.22,0.19,0.29,0.29,,
0.26,0.28,0.31,0.15,,
0.27,0.21,0.21,0.3,,
0.29,0.25,0.23,0.23,,
0.29,0.19,0.25,0.26,,
0.21,0.31,0.27,0.2,,
0.28,0.21,0.25,0.25,,
0.23,0.33,0.23,0.21,,
0.31,0.26,0.22,0.2,,
0.23,0.24,0.22,0.31,,
0.21,0.45,0.02,0.31,,
0.22,0.28,0.23,0.26,,
0.26,0.28,0.29,0.17,,
0.25,0.22,0.22,0.3,,
0.24,0,0.23,,,
0.22,0.26,0.28,0.23,,
0.19,0.3,0,,,
0.17,0.27,0.28,0.28,,
0.31,0.25,0.18,0.25,,
0.25,0.17,0.3,0.27,,
0.15,0.29,0.3,0.26,,
0.24,0.22,0.25,0.29,,
0.28,0.24,0.23,0.25,,
0.31,0.16,0.3,0.22,,
0.29,0.28,0.19,0.23,,
0.22,0.29,0.25,0.23,,
0.29,0.12,0.31,0.28,,
0.31,0,0.21,,,
0.25,0.24,0.22,0.29,,
0.29,0.29,0.17,0.25,,
0.15,0.27,0.32,0.25,,
0.23,0.2,0.27,0.29,,
0.28,0.19,0.28,0.24,,
0.25,0.32,0.17,0.25,,
0.26,0.23,0.2,0.3,,
0.23,0.29,0,,,
0.3,0.29,0.17,0.24,,
0.24,0.25,0.24,0.26,,
0.24,0.27,0.28,0.2,,
0.22,0.17,0.28,0.32,,
0.29,0.19,0.32,0.2,,
0.26,0.24,0.25,0.25,,
0.29,0.25,0.23,0.22,,
0.26,0.17,0.24,0.32,,
0.32,0.22,0.21,0.25,,
0.31,0.14,0.28,0.26,,
0.17,0.25,0.3,0.29,,
0.2,0.24,0.29,0.26,,
0.13,0.33,0.25,0.28,,
0.22,0.24,0.27,0.26,,
0.23,0.27,0.3,0.2,,
0.15,0.3,0.26,0.28,,
0.25,0.28,0.26,0.2,,
0.25,0.27,0.32,0.16,,
0.23,0.31,0.14,0.31,,
0.26,0.29,0.23,0.21,,
0.15,0.15,0.33,0.36,,
0.29,0.18,0.31,0.22,,
0.31,0.24,0.26,0.18,,
0.21,0.25,0.29,0.24,,
0.16,0.23,0.29,0.31,,
0.2,0.34,0.18,0.27,,
0.2,0.28,0.29,0.22,,
0.21,0.22,0.29,0.27,,
0.27,0.25,0.21,0.26,,
0.04,0,0.21,,,
0.29,0.25,0.25,0.2,,
0.22,0.24,0.29,0.25,,
0.26,0.25,0.24,0.24,,
0.25,0.28,0.29,0.17,,
0.28,0.25,0.33,0.13,,
0.28,0.24,0.31,0.16,,
0.19,0.26,0.26,0.28,,
0.2,0.27,0.32,0.2,,
0.28,0.28,0.13,0.3,,
0.3,0.19,0.21,0.3,,
0.29,0.24,0.21,0.25,,
0.31,0.24,0.25,0.19,,
0.18,0.26,0.25,0.31,,
0.21,0.22,0.28,0.29,,
0.27,0.28,0.23,0.21,,
0.23,0.28,0.28,0.2,,
0.21,0.16,0.3,0.32,,
0.23,0.2,0.3,0.27,,
0.17,0.3,0.26,0.27,,
0.27,0.28,0.27,0.17,,
0.29,0.32,0.16,0.23,,
0.19,0.24,0.26,0.3,,
0.27,0.27,0.26,0.19,,
0.29,0.25,0.31,0.14,,
0.23,0.21,0.25,0.3,,
0.21,0.27,0.22,0.31,,
0.18,0.24,0.29,0.29,,
0.24,0.28,0.21,0.26,,
0.24,0.31,0.23,0.21,,
0.31,0.2,0.22,0.27,,
0.28,0.2,0.3,0.22,,
0.17,0.28,0.24,0.31,,
0.27,0.23,0.29,0.21,,
0.3,0.28,0.24,0.18,,
0.25,0.27,0.23,0.24,,
0.26,0.23,0.27,0.23,,
0.29,0.17,0.29,0.25,,
0.2,0.3,0.29,0.21,,
0.25,0,0.3,,,
0.19,0.28,0.31,0.21,,
0.26,0.23,0.31,0.2,,
0.2,0.19,0.24,0.2,0.15,
0.23,0.21,0.21,0.22,0.07,0.06
0.24,0.22,0.22,0.31,,
0.22,0.27,0.2,0.3,,
0.28,0.25,0.29,0.17,,
0.23,0.32,0.22,0.22,,
0.29,0.19,0.26,0.27,,
0.18,0.3,0.3,0.21,,
0.28,0.23,0.3,0.19,,
0.31,0.28,0.19,0.21,,
0.2,0.26,0.27,0.28,,
0.16,0.3,0.26,0.27,,
0.27,0.2,0.27,0.25,,
0.31,0.2,0.26,0.22,,
0.29,0.28,0.23,0.19,,
0.11,0.24,0.32,0.32,,
0.26,0.2,0.3,0.24,,
0.25,0.15,0.3,0.29,,
0.25,0.28,0.31,0.15,,
0.2,0.22,0.29,0.29,,
0.13,0.25,0.31,0.3,,
0.19,0.24,0.31,0.25,,
0.23,0.26,0.29,0.21,,
0.29,0.27,0.18,0.26,,
0.25,0.26,0.3,0.18,,
0.31,0.24,0.28,0.16,,
0.18,0.28,0.32,0.22,,
0.26,0.18,0.56,,,
0.27,0.3,0.23,0.2,,
0.3,0.21,0.17,0.32,,
0.27,0.25,0.2,0.27,,
0.26,0.21,0,,,
0.3,0.31,0.22,0.16,,
0.24,0.2,0.32,0.24,,
0.3,0.22,0.27,0.2,,
0.3,0.16,0.22,0.32,,
0.29,0.24,0.26,0.21,,
0.26,0.19,0.28,0.27,,
0.25,0.22,0.32,0.2,,
0.28,0.3,0.26,0.15,,
0.26,0.29,0.21,0.23,,
0.25,0.28,0.21,0.26,,
0.24,0.24,0.23,0.28,,
0.25,0.27,0.22,0.25,,
0.25,0.32,0.25,0.18,,
0.25,0.29,0.25,0.2,,
0.27,0.32,0.22,0.19,,
0.24,0.17,0.32,0.27,,
0.3,0.16,0.27,0.27,,
0.28,0.31,0.18,0.23,,
0.26,0.26,0.23,0.25,,
0.25,0.24,0.22,0.29,,
0.23,0.24,0.21,0.32,,
0.29,0.3,0.18,0.22,,
0.23,0.2,0.27,0.29,,
0.27,0.26,0.19,0.28,,
0.31,0.3,0.14,0.25,,
0.18,0.27,0.24,0.31,,
0.23,0.29,0.19,0.29,,
0.29,0.2,0.29,0.21,,
0.29,0.26,0.23,0.21,,
0.2,0.18,0.31,0.3,,
0.3,0.22,0.23,0.24,,
0.2,0.28,0.28,0.23,,
0.27,0.29,0.23,0.21,,
0.18,0.3,0.26,0.27,,
0.27,0.25,0.29,0.19,,
0.31,0.22,0.24,0.23,,
0.25,0.18,0.27,0.3,,
0.24,0.24,0.29,0.22,,
0.29,0.2,0.32,0.2,,
0.19,0.28,0.24,0.29,,
0.2,0.21,0.27,0.31,,
0.2,0.27,0.26,0.26,,
0.31,0.23,0.16,0.29,,
0.21,0.23,0.25,0.3,,
0.28,0.24,0.26,0.21,,
0.25,0.3,0.24,0.2,,
0.19,0.3,0.24,0.26,,
0.28,0.23,0.24,0.25,,
0.18,0.26,0.24,0.31,,
0.18,0.28,0.29,0.24,,
0.41,0.29,0.3,,,
0.24,0.3,0.26,0.19,,
0.2,0.29,0.26,0.24,,
0.24,0,0.22,,,
0.3,0.29,0.12,0.3,,
