art_193,lineage4.8.1,0.703,lineage4.4.1,0.297
art_194,lineage4.8.2,0.704,lineage1.2.2.1,0.296
art_195,lineageoryg,0.307,lineage4.3.2,0.693
art_196,lineageoryg,0.687,lineage4.9.1,0.313
art_197,lineage4.4,1.0
art_198,lineage4.5,1.0
sample
sample
art_1,lineage1.1.1.1,0.691,lineage4.6.1,0.309
art_200,lineage4.1.3,0.299,lineage4.1.1,0.701
art_20,lineage4.6.4,0.714,lineage6,0.286
art_21,lineage4.6.2,1.0
art_22,lineage4.3.1.1,1.0
art_23,lineagebov,0.298,lineage4.8.3,0.702
art_24,lineage4.1.1.1,1.0
art_25,lineagecap,0.301,lineage1.1.3.3,0.699
art_26,lineage4.2.1,1.0
art_27,lineage2.1,0.297,lineage2,0.703
art_28,lineage2.1,1.0
art_29,lineage4.3.2.1,1.0
art_2,lineage4.6.2.1,0.707,lineage1.1,0.293
art_30,lineage4.3.2.1,1.0
art_31,lineage4.1.1.3.1,1.0
art_32,lineage4.4.1,0.709,lineage4.8.2,0.291
art_33,lineage4.8.1,0.705,lineage4.3.4.2,0.295
art_34,lineage4.1.3,0.297,lineage4.2.2.2,0.703
art_35,lineage4.1,1.0
art_36,lineage4.1.1.1,0.7,lineage4.8.2,0.3
art_37,lineage2.2,1.0
art_38,lineage5,0.299,lineage4.6.1.2,0.701
art_39,lineage5,0.705,lineage4.2.1,0.295
art_3,lineage4.4.1,0.315,lineage1.2.2.1,0.685
art_40,lineage1.1,0.702,lineage4.3.2.1,0.298
art_41,lineage1.1.3.2,1.0
art_42,lineage4.3.3,0.7,lineage4.1.1.1,0.3
art_43,lineage1.2.1,0.693,lineage4.3.2.1,0.307
art_44,lineage4.6.2.2,0.7,lineage4.2.2.2,0.3
art_45,lineage4.1,1.0
art_46,lineageoryg,0.702,lineage1.1.3,0.298
art_47,lineage4.6.1.2,1.0
art_48,lineage9,0.702,lineage4.3.2,0.298
art_49,lineageoryg,1.0
art_4,lineage5,0.299,lineage4.1.1,0.701
art_50,lineage8,0.3,lineage1.1.1.1,0.7
art_51,lineage8,0.685,lineage4.9.1,0.315
art_52,lineage4.1.1.2,0.689,lineage4.3.1.1,0.311
art_53,lineage2.2,1.0
art_54,lineage1.1.3.1,0.718,lineage4.1.1.2,0.282
art_55,lineage1.1.1.1,0.707,lineage2,0.293
art_56,lineage4.8.1,1.0
art_57,lineage5,0.695,lineage4.1.1,0.305
art_58,lineage2.2.2,0.693,lineage4.2.2.1,0.307
art_59,lineage1.2.1,1.0
art_5,lineage4.6.1.2,0.712,lineage4.1.1,0.288
art_60,lineage1,0.301,lineage4.8.2,0.699
art_61,lineage4.6.2,1.0
sample
art_63,lineage4.3.2,1.0
art_64,lineage4.6.2.2,1.0
art_65,lineage4.5,1.0
art_66,lineage4.1.1.3,0.698,lineage4.8.1,0.302
art_67,lineage1.1.2,0.31,lineage4.8.3,0.69
art_68,lineageoryg,0.708,lineage4.3.1,0.292
art_69,lineage2,0.695,lineage4.6.2,0.305
art_6,lineagecap,1.0
art_70,lineage4.6.4,0.72,lineage4.6.1,0.28
art_71,lineage4.3,1.0
art_72,lineage1.2.1,1.0
art_73,lineage4.3.1.1,0.7,lineage3.1.2.2,0.3
art_74,lineage1.2.2,0.712,lineage2.1,0.288
art_75,lineage4.6.1,0.702,lineage4.3.2.1,0.298
art_76,lineage1.1.1,1.0
art_77,lineage1.2.1,1.0
art_78,lineage4.4.1.2,1.0
art_79,lineage4.1.3,0.288,lineage1.1.1,0.712
art_7,lineage1.1.1,0.715,lineage4.1.1.1,0.285
art_80,lineagecap,0.702,lineage4.1,0.298
art_81,lineage4.6.1.1,0.706,lineage4.6.2.1,0.294
art_82,lineage9,0.708,lineage1.2.2.1,0.292
art_83,lineage4.8.2,1.0
art_84,lineage1.1.1,1.0
art_85,lineage4.3.3,0.716,lineage4.2,0.284
art_86,lineage2.2,0.713,lineage1.1.3.1,0.287
art_87,lineage4.4.1.2,0.714,lineage2.2,0.286
art_88,lineage4.6.2,1.0
art_89,lineage4.4.1.1.1,0.7,lineage4.6.2,0.3
art_8,lineage4.1,0.698,lineage1.1.3.2,0.302
art_90,lineage1.1.3.2,1.0
art_91,lineage4.6.3,0.292,lineage4.3.1,0.708
art_92,lineage1,0.705,lineage1.1.3.1,0.295
art_93,lineage5,1.0
art_94,lineage4.1.2.1.1,1.0
art_95,lineage4.2.1,1.0
art_96,lineage4.1.2.1.1,0.711,lineage3,0.289
art_97,lineage4.6.1,0.688,lineage4.3.1,0.312
art_98,lineage4.3.4.2,0.314,lineage4.4.1.1.1,0.686
art_99,lineage2,0.705,lineage4.3.1,0.295
art_9,lineage2,0.307,lineage4.3.1,0.693
